TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554877895973,-9.753978,-0.7380127,0.5931635000000001,0.8213189000000001,0.06711166,0.15233281,7.56,48.6,7.8
1554877895992,-9.715671,-0.6374562,0.66020113,0.7190535,0.053263225,0.14807177,7.62,48.96,7.44
1554877896012,-9.662998,-0.4938041,0.40641573,0.6040049,0.041545313,0.14061491,7.62,49.32,7.14
1554877896031,-9.471461999999999,-0.45070848,0.64583594,0.44315,0.03089267,0.13528858,7.68,49.68,6.78
1554877896051,-9.442732000000001,-0.43634325,0.53570265,0.28549087,0.029827405,0.09374327,7.74,50.04,6.42
1554877896072,-9.543288,-0.4985925,0.6075286999999999,0.13315806,-0.0010652645,0.046871635999999994,7.8,50.4,6.0
1554877896091,-9.533711,-0.39803603,0.5979519,0.05539375,-0.037284255,0.015978966,7.8,50.46,5.88
1554877896111,-9.481038999999999,-0.5033809,0.29149407,-0.03089267,-0.07243799,-0.012783173500000002,7.8,50.64,5.7
1554877896131,-9.428367,-0.42197806,0.56443304,-0.11930962,-0.07669904,-0.051132694000000006,7.86,50.76,5.64
1554877896151,-9.610325999999999,-0.6183026,0.87089086,-0.20772657,-0.08522116,-0.083090626,7.86,50.94,5.52
1554877896172,-9.619903,-0.88645315,1.0193313,-0.23861924,-0.080960095,-0.08628642,7.92,51.06,5.4
1554877896192,-9.56723,-0.95349085,0.9235633,-0.21198763,-0.060720075,-0.084155895,7.98,51.12,5.28
1554877896212,-9.504980999999999,-0.9391255999999999,0.76075757,-0.20879184,-0.008522116,-0.07669904,8.1,51.18,5.16
1554877896231,-9.595961,-0.84335756,0.64583594,-0.23009712,0.02130529,-0.07882957,8.1,51.12,5.1
1554877896252,-9.615114,-0.87687635,0.7224503999999999,-0.22050974,0.02130529,-0.07243799,8.16,51.0,5.04
1554877896272,-9.639056,-0.8912416,0.64583594,-0.13102753,0.010652645,-0.06178534,8.22,50.82,4.98
1554877896292,-9.543288,-0.9103952,0.7751228,-0.036218993,-0.0010652645,-0.07137272,8.22,50.58,4.92
1554877896311,-9.744401,-0.7667431,0.6841431,-0.01917476,-0.0063915867,-0.082025364,8.22,50.4,4.92
1554877896331,-9.864111,-0.7332243,0.6362591,-0.07669904,-0.04474111,-0.07243799,8.22,50.16,4.92
1554877896352,-9.792285000000001,-0.7332243,0.84216046,-0.18002969,-0.08628642,-0.06498113,8.16,50.04,4.92
1554877896371,-9.715671,-0.7140707,1.1917138999999999,-0.2428803,-0.096939065,-0.09374327,8.1,49.86,4.98
1554877896391,-9.624691,-0.7188591,1.2252326999999998,-0.25140239999999997,-0.094808534,-0.10652645,8.04,49.86,5.1
1554877896412,-9.572019000000001,-1.0588357,1.2348095,-0.22796659,-0.07137272,-0.07669904,7.98,49.86,5.28
1554877896432,-9.629479,-1.1019313,1.1246762,-0.17576863,-0.041545313,-0.06711166,7.92,49.92,5.4
1554877896452,-9.619903,-0.99179804,1.1055226,-0.13635385,-0.015978966,-0.04474111,7.86,49.98,5.52
1554877896472,-9.562441999999999,-1.1019313,0.9475053,-0.12463594,-0.007456851,-0.018109497,7.86,50.04,5.64
1554877896492,-9.605537,-1.039682,0.97623575,-0.099069595,0.0053263223,-0.01917476,7.92,50.1,5.76
1554877896512,-9.619903,-0.98222125,0.86131406,-0.041545313,-0.0031957934000000003,-0.0063915867,7.92,50.1,5.88
1554877896531,-9.677363,-0.88645315,0.85173726,0.0031957934000000003,-0.015978966,0.0031957934000000003,7.92,50.16,5.94
1554877896551,-9.758766,-1.073201,0.6841431,-0.040480047000000005,-0.046871635999999994,0.046871635999999994,7.92,50.1,5.94
1554877896572,-9.562441999999999,-1.0348936,0.6841431,-0.17896444,-0.09587380000000001,0.083090626,7.86,50.1,5.94
1554877896592,-9.610325999999999,-0.7858967,0.7080852,-0.11824436,-0.09587380000000001,-0.022370555,7.86,50.1,5.94
1554877896612,-9.370906,-0.87208796,1.1725603,-0.14913702,-0.09587380000000001,0.00958738,7.8,50.04,5.94
1554877896632,-9.279925,-0.8194155000000001,1.3449427999999999,-0.12250541,-0.07563378,-0.040480047000000005,7.8,50.04,6.0
1554877896652,-9.701305,-0.65660983,1.1007341999999998,-0.12037488,-0.02130529,-0.094808534,7.8,50.04,6.06
1554877896671,-9.68694,-0.75716627,0.86131406,-0.22050974,-0.041545313,-0.07669904,7.74,50.1,6.06
1554877896692,-9.662998,-0.65660983,0.6218939,-0.30360037,-0.06604639400000001,-0.10333065,7.74,50.1,6.12
1554877896712,-9.715671,-0.9487024,0.96187055,-0.2876214,-0.07243799,-0.09587380000000001,7.8,50.1,6.24
1554877896731,-9.677363,-1.0253168,1.2252326999999998,-0.16085494,-0.084155895,-0.07882957,7.8,50.04,6.3
1554877896752,-9.873688000000001,-1.1641805,1.0193313,-0.04474111,-0.04580637,-0.06178534,7.86,50.04,6.42
1554877896772,-9.442732000000001,-1.0588357,1.1198878,-0.025566347000000003,-0.007456851,-0.06178534,7.92,49.92,6.54
1554877896791,-9.643844999999999,-0.9008184000000001,0.8086416000000001,-0.058589544,-0.013848438000000001,-0.07563378,7.92,49.86,6.54
1554877896812,-9.677363,-0.87208796,0.7990648,-0.18002969,-0.027696876000000002,-0.040480047000000005,7.92,49.8,6.6
