TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554103151222,-8.001422,-2.7491422,5.3624134,0.9374326999999999,-0.03089267,1.1845741,23.64,-18.3,-25.62
1554103151243,-7.8673470000000005,-2.2894554,5.242703,0.9715212,-0.027696876000000002,1.2016183,23.4,-19.98,-25.56
1554103151262,-7.752425,-1.9446903000000002,4.8165355000000005,0.94808537,-0.040480047000000005,1.1930962,23.04,-21.3,-25.56
1554103151282,-7.776367,-1.7866731,4.8500543,0.902279,-0.053263225,1.1856394,22.86,-21.96,-25.56
1554103151303,-7.603985000000001,-1.2695253999999998,4.768651,0.8788431999999999,-0.06924219,1.1451592,22.26,-24.06,-25.32
1554103151323,-7.61835,-0.97743285,4.538808,0.82344943,-0.06285059999999999,1.1089402,21.66,-25.44,-25.14
1554103151344,-7.7189064,-0.42197806,4.3664255,0.70200926,-0.07350325,1.0865698000000001,21.12,-26.88,-24.96
1554103151363,-7.4986396,-0.12509704,4.4286747,0.55287224,-0.10546118,1.0333065000000001,20.58,-28.2,-24.72
1554103151383,-7.4124484,-0.11552023,4.5723267,0.47297743,-0.13209279,0.9416938,20.04,-29.58,-24.54
1554103151402,-7.441178999999999,0.09995792,4.8739963,0.46552056,-0.15339808,0.87990844,19.5,-30.9,-24.3
1554103151423,-7.2304892999999995,0.18614918,4.931457,0.50600064,-0.16192019,0.81918836,18.96,-32.22,-24.06
1554103151442,-7.254431200000001,0.47345337,4.835689,0.52411014,-0.14913702,0.72651035,18.48,-33.3,-23.88
1554103151462,-7.216124000000001,0.7080852,4.830900700000001,0.44101948,-0.15339808,0.6743124,18.06,-34.38,-23.7
1554103151485,-7.0964136,0.88525605,5.089474,0.32277513,-0.15552860000000002,0.6114618,17.7,-35.34,-23.58
1554103151502,-7.1155677,0.76554596,5.151723400000001,0.20240025,-0.13209279,0.5230448000000001,17.34,-36.24,-23.46
1554103151523,-7.043741000000001,0.8086416000000001,5.458181400000001,0.19068234,-0.11504856,0.48682585,16.92,-37.14,-23.28
1554103151543,-6.708553299999999,1.2395979,5.635351999999999,0.2695119,-0.10013486,0.39840892,16.38,-37.86,-23.1
1554103151563,-7.029375999999999,1.7136499,5.194819,0.34194988,-0.051132694000000006,0.22583607,15.96,-38.58,-22.98
1554103151583,-7.254431200000001,1.0576386,5.295376,0.18429075,-0.040480047000000005,0.1470065,15.6,-39.06,-22.86
1554103151602,-7.714117999999999,0.45429978,5.6784476999999995,-0.037284255,-0.035153727999999995,0.113983296,15.24,-39.54,-22.74
1554103151623,-7.6710224,0.29149407,6.0663085,-0.026631612000000002,-0.046871635999999994,0.16085494,14.94,-40.02,-22.68
1554103151643,-7.522581599999999,0.65541273,6.128557700000001,0.17257284,-0.07243799,0.19707392,14.7,-40.44,-22.62
1554103151662,-7.5561004,1.0289081,6.071097,0.35153726,-0.06924219,0.20133498,14.4,-40.8,-22.56
1554103151682,-7.565677,1.6849195,6.1094040000000005,0.41864893,-0.06711166,0.20133498,14.22,-41.04,-22.5
1554103151702,-7.747636999999999,1.6035166,5.7646394,0.31638354,-0.03195793,0.1587244,14.16,-41.22,-22.38
1554103151722,-7.8050976,1.5364790000000002,5.774216,0.18429075,-0.03089267,0.1107875,14.04,-41.34,-22.26
1554103151742,-7.7907324000000004,1.2443863000000002,5.716755,0.1470065,-0.046871635999999994,0.13528858,13.92,-41.58,-22.2
1554103151762,-7.723694999999999,1.1198878,5.6497173,0.2034655,-0.056459017,0.12570119999999999,13.74,-41.82,-22.14
1554103151783,-7.723694999999999,1.3162124,5.5539494000000005,0.29294774,-0.06711166,0.1438107,13.5,-42.06,-22.02
1554103151803,-7.6710224,1.584363,5.4390279999999995,0.31318775,-0.07882957,0.16192019,13.26,-42.42,-21.96
1554103151823,-7.728483,1.6561891,5.204396,0.2695119,-0.08948222,0.17576863,13.02,-42.78,-21.84
1554103151843,-7.5034279999999995,1.632247,5.213972599999999,0.18322548,-0.08522116,0.18109496,12.78,-43.2,-21.72
1554103151863,-7.359775999999999,1.7471686999999998,5.635351999999999,0.14913702,-0.07243799,0.15446335,12.6,-43.56,-21.66
1554103151883,-7.2304892999999995,1.6849195,5.295376,0.18855181,-0.04580637,0.1438107,12.36,-43.92,-21.6
1554103151903,-7.4124484,1.7471686999999998,5.37199,0.17363810000000002,-0.027696876000000002,0.17470337,12.18,-44.22,-21.54
1554103151923,-7.077260000000001,1.7998412,5.3384714,0.20133498,-0.012783173500000002,0.15233281,12.0,-44.46,-21.42
1554103151943,-7.192182000000001,2.1398177000000005,5.4007206,0.18429075,0.027696876000000002,0.11504856,11.88,-44.64,-21.3
1554103151962,-6.8426285,1.9626468000000001,5.2618566,0.21518342,0.04474111,0.058589544,11.82,-44.76,-21.24
1554103151982,-7.1826053,2.1924900000000003,5.0798974,0.24714136,0.0053263223,-0.015978966,11.7,-44.82,-21.18
