TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554884125266,9.303867,0.85652566,2.460641,0.024501082,-0.026631612000000002,-0.035153727999999995,-21.24,6.36,3.9
1554884125286,9.361329,0.9379284999999999,2.7335799,0.025566347000000003,-0.04474111,-0.03834952,-21.24,6.3,3.9
1554884125306,9.452309,0.83737206,2.556409,-0.002130529,-0.05752428,-0.037284255,-21.18,6.24,3.9
1554884125327,9.452309,0.789488,2.6809072,-0.03195793,-0.05539375,-0.034088463,-21.18,6.12,3.9
1554884125346,9.409213000000001,0.8182184,2.690484,-0.029827405,-0.051132694000000006,-0.041545313,-21.18,6.12,3.9
1554884125365,9.504980999999999,0.6841431,2.5803509,0.007456851,-0.035153727999999995,-0.04580637,-21.24,6.18,3.9
1554884125385,9.495403999999999,0.7224503999999999,2.5133132999999996,0.03834952,-0.023435817999999997,-0.04474111,-21.24,6.18,3.9
1554884125406,9.394848,0.8996213,2.6378117000000003,0.025566347000000003,-0.015978966,-0.035153727999999995,-21.36,6.3,3.9
1554884125426,9.433155000000001,0.8086416000000001,2.6138697,-0.029827405,-0.012783173500000002,-0.017044231,-21.42,6.36,3.9
1554884125446,9.375694000000001,0.85652566,2.5995044999999997,-0.05965481,-0.0031957934000000003,-0.0063915867,-21.54,6.48,3.9
1554884125465,9.476251,0.83737206,2.690484,-0.05752428,0.010652645,-0.0063915867,-21.66,6.54,3.9
1554884125485,9.404425,0.7224503999999999,2.6952724,-0.020240024,0.027696876000000002,-0.00958738,-21.72,6.6,3.9
1554884125506,9.375694000000001,0.74639237,2.5899277,0.02130529,0.029827405,-0.014913702,-21.72,6.6,3.9
1554884125526,9.428367,0.8900445,2.460641,0.040480047000000005,0.020240024,-0.015978966,-21.72,6.6,3.84
1554884125546,9.260772,0.8230068000000001,2.6378117000000003,0.023435817999999997,0.012783173500000002,-0.015978966,-21.72,6.6,3.84
1554884125566,9.394848,0.87089086,2.7383683,0.0031957934000000003,0.008522116,-0.012783173500000002,-21.6,6.6,3.84
1554884125586,9.394848,0.84216046,2.5420437000000002,0.002130529,0.002130529,-0.017044231,-21.54,6.6,3.84
1554884125605,9.3661175,0.83258367,2.6282349,0.03195793,0.002130529,-0.025566347000000003,-21.42,6.6,3.84
1554884125625,9.313444,0.7751228,2.4462755,0.06285059999999999,-0.0031957934000000003,-0.033023197000000004,-21.36,6.6,3.78
1554884125645,9.323022,0.8996213,2.4941597,0.053263225,-0.018109497,-0.036218993,-21.3,6.6,3.78
1554884125665,9.346964,0.9379284999999999,2.5372553,0.014913702,-0.037284255,-0.033023197000000004,-21.18,6.6,3.78
1554884125686,9.375694000000001,0.84216046,2.3600842999999996,-0.015978966,-0.049002163,-0.029827405,-21.12,6.66,3.78
1554884125705,9.442732000000001,0.7799111999999999,2.5420437000000002,-0.00958738,-0.056459017,-0.03834952,-21.06,6.66,3.78
1554884125725,9.514558000000001,0.8182184,2.5133132999999996,0.017044231,-0.037284255,-0.049002163,-21.06,6.66,3.78
1554884125745,9.270349000000001,0.88525605,2.4366987,0.037284255,-0.033023197000000004,-0.05539375,-21.06,6.66,3.78
1554884125766,9.337387,0.9427169,2.570774,0.022370555,-0.037284255,-0.046871635999999994,-21.06,6.66,3.78
1554884125786,9.404425,0.95229375,2.6426,-0.013848438000000001,-0.04261058,-0.04580637,-21.12,6.66,3.78
1554884125805,9.504980999999999,0.86131406,2.6473885,-0.03834952,-0.035153727999999995,-0.046871635999999994,-21.18,6.66,3.84
1554884125825,9.576807,0.7751228,2.9059622000000003,-0.023435817999999997,-0.015978966,-0.05752428,-21.18,6.6,3.9
1554884125846,9.495403999999999,0.83737206,2.6521769,0.027696876000000002,0.011717908999999999,-0.06604639400000001,-21.24,6.54,3.9
1554884125865,9.303867,0.7799111999999999,2.6473885,0.049002163,0.018109497,-0.06924219,-21.3,6.54,3.96
1554884125885,9.428367,0.9091981,2.6282349,0.041545313,0.007456851,-0.06498113,-21.3,6.48,4.02
1554884125905,9.466674000000001,0.85173726,2.4223334999999997,0.018109497,0.002130529,-0.06285059999999999,-21.36,6.42,4.02
1554884125928,9.433155000000001,0.76554596,2.690484,0.0031957934000000003,0.011717908999999999,-0.06178534,-21.42,6.36,4.02
1554884125945,9.332599,0.7799111999999999,2.5899277,0.018109497,0.015978966,-0.05539375,-21.42,6.36,3.96
1554884125965,9.3182335,0.74639237,2.460641,0.043675844000000005,0.022370555,-0.047936900000000005,-21.36,6.36,3.96
1554884125986,9.279925,0.85652566,2.460641,0.04474111,0.025566347000000003,-0.039414786,-21.36,6.36,3.9
1554884126006,9.3182335,0.81343,2.4462755,0.00958738,0.015978966,-0.024501082,-21.36,6.36,3.84
1554884126026,9.284714,0.741604,2.570774,-0.024501082,0.014913702,-0.004261058,-21.3,6.36,3.84
1554884126046,9.289502,0.789488,2.355296,-0.033023197000000004,0.017044231,0.008522116,-21.3,6.36,3.78
1554884126066,9.385271000000001,0.7128736,2.4271219,-0.002130529,0.015978966,0.022370555,-21.24,6.42,3.78
1554884126086,9.294291000000001,0.7751228,2.4079683,0.039414786,0.01917476,0.03089267,-21.24,6.36,3.78
1554884126106,9.356541,0.7846996,2.4510639,0.033023197000000004,0.0031957934000000003,0.035153727999999995,-21.18,6.36,3.78
1554884126127,9.370906,0.95708215,2.3026235,-0.012783173500000002,-0.020240024,0.04580637,-21.12,6.36,3.78
1554884126145,9.3661175,0.83737206,2.484583,-0.039414786,-0.040480047000000005,0.04474111,-21.12,6.36,3.78
1554884126166,9.394848,0.741604,2.4558525,-0.027696876000000002,-0.05006743,0.035153727999999995,-21.06,6.42,3.84
1554884126186,9.452309,0.7990648,2.5899277,0.01917476,-0.05006743,0.014913702,-21.06,6.42,3.84
1554884126206,9.442732000000001,0.87567925,2.4797945,0.060720075,-0.04474111,-0.0031957934000000003,-21.0,6.54,3.9
1554884126225,9.404425,0.98581254,2.3840263,0.05006743,-0.05219796,-0.013848438000000001,-21.0,6.6,3.9
1554884126245,9.380483,1.0672153999999998,2.5468319999999998,-0.0010652645,-0.058589544,-0.015978966,-21.0,6.66,3.96
1554884126265,9.423578,1.0097545,2.6952724,-0.05539375,-0.06178534,-0.02130529,-20.94,6.78,3.96
1554884126286,9.524135000000001,0.81343,2.6952724,-0.05219796,-0.049002163,-0.033023197000000004,-20.94,6.84,4.02
1554884126306,9.528922999999999,0.789488,2.7431567,0.0063915867,-0.026631612000000002,-0.047936900000000005,-20.94,6.9,4.02
1554884126326,9.452309,0.7799111999999999,2.6856956000000003,0.05219796,-0.02130529,-0.06711166,-20.94,6.96,4.02
1554884126345,9.375694000000001,0.9475053,2.5468319999999998,0.05006743,-0.01917476,-0.06604639400000001,-21.0,6.96,4.02
1554884126366,9.471461999999999,0.8948328999999999,2.6330232999999996,0.00958738,-0.013848438000000001,-0.06391586,-21.0,6.96,3.96
1554884126385,9.442732000000001,0.789488,2.508525,-0.020240024,-0.0053263223,-0.05965481,-21.0,6.9,3.96
1554884126405,9.557653,0.6841431,2.5611973,-0.020240024,0.011717908999999999,-0.05752428,-21.12,6.9,3.9
1554884126426,9.557653,0.74639237,2.6761188999999996,0.022370555,0.029827405,-0.06285059999999999,-21.18,6.9,3.84
1554884126446,9.390058999999999,0.74639237,2.4893713,0.056459017,0.036218993,-0.06498113,-21.18,6.9,3.84
1554884126466,9.227253,0.83258367,2.4223334999999997,0.049002163,0.035153727999999995,-0.05752428,-21.24,6.84,3.84
1554884126486,9.323022,0.87089086,2.3696610000000002,0.008522116,0.03089267,-0.04474111,-21.24,6.84,3.84
1554884126506,9.3661175,0.7703344,2.4941597,-0.025566347000000003,0.029827405,-0.039414786,-21.3,6.84,3.84
1554884126526,9.337387,0.6937199000000001,2.594716,-0.00958738,0.025566347000000003,-0.03834952,-21.3,6.84,3.84
1554884126546,9.390058999999999,0.75596917,2.3983915000000002,0.03089267,0.02130529,-0.039414786,-21.3,6.84,3.84
1554884126566,9.346964,0.8230068000000001,2.4797945,0.053263225,0.00958738,-0.037284255,-21.24,6.78,3.84
1554884126586,9.275136999999999,0.9331401,2.3600842999999996,0.043675844000000005,-0.0010652645,-0.02876214,-21.24,6.78,3.84
1554884126605,9.385271000000001,0.7799111999999999,2.3888147,0.018109497,-0.004261058,-0.01917476,-21.18,6.78,3.84
1554884126626,9.394848,0.8038531999999999,2.4510639,0.0053263223,0.0010652645,-0.017044231,-21.12,6.78,3.84
1554884126646,9.3421755,0.75118077,2.5276785,0.014913702,0.0,-0.014913702,-21.06,6.78,3.84
1554884126666,9.3661175,0.86610246,2.4941597,0.04261058,-0.00958738,-0.0010652645,-21.0,6.72,3.78
1554884126686,9.399636,0.88525605,2.345719,0.04261058,-0.013848438000000001,0.0010652645,-21.0,6.66,3.78
1554884126706,9.414000999999999,0.97144735,2.40318,0.01917476,-0.020240024,-0.0010652645,-20.94,6.6,3.78
1554884126726,9.404425,0.81343,2.379238,0.0063915867,-0.026631612000000002,-0.002130529,-20.94,6.6,3.78
1554884126745,9.390058999999999,0.87089086,2.3936029999999997,0.007456851,-0.022370555,-0.008522116,-20.94,6.54,3.78
1554884126765,9.332599,0.9187749,2.5899277,0.013848438000000001,-0.023435817999999997,-0.0063915867,-20.94,6.48,3.72
1554884126785,9.346964,0.9475053,2.5755625,0.025566347000000003,-0.024501082,-0.007456851,-20.88,6.48,3.72
1554884126807,9.447519999999999,0.95229375,2.570774,0.022370555,-0.02876214,-0.013848438000000001,-20.88,6.48,3.72
1554884126826,9.437942999999999,0.87089086,2.6234465,0.01917476,-0.024501082,-0.020240024,-20.88,6.54,3.66
1554884126846,9.423578,0.9331401,2.4366987,0.013848438000000001,-0.022370555,-0.018109497,-20.88,6.6,3.72
1554884126865,9.514558000000001,0.86131406,2.7623102999999998,-0.0053263223,-0.014913702,-0.020240024,-20.82,6.6,3.72
1554884126886,9.485827,0.8182184,2.5995044999999997,-0.017044231,-0.0010652645,-0.025566347000000003,-20.82,6.6,3.72
1554884126905,9.466674000000001,0.83737206,2.5372553,-0.017044231,0.002130529,-0.026631612000000002,-20.82,6.66,3.78
1554884126925,9.390058999999999,0.83258367,2.4462755,-0.002130529,-0.004261058,-0.023435817999999997,-20.82,6.66,3.78
1554884126945,9.385271000000001,0.83737206,2.5899277,0.010652645,0.004261058,-0.029827405,-20.82,6.72,3.84
1554884126966,9.457097000000001,0.82779527,2.441487,0.007456851,0.0053263223,-0.026631612000000002,-20.88,6.72,3.9
1554884126986,9.337387,0.8900445,2.4702177000000005,-0.0010652645,0.00958738,-0.025566347000000003,-20.94,6.72,3.9
1554884127005,9.3661175,0.8182184,2.4319102999999997,-0.027696876000000002,0.0063915867,-0.02130529,-21.0,6.72,3.84
1554884127025,9.3421755,0.7799111999999999,2.4702177000000005,-0.03195793,0.002130529,-0.017044231,-21.06,6.72,3.78
1554884127045,9.270349000000001,0.7272388000000001,2.4223334999999997,-0.0031957934000000003,-0.002130529,-0.017044231,-21.12,6.66,3.72
1554884127066,9.375694000000001,0.7990648,2.3840263,0.026631612000000002,0.002130529,-0.02130529,-21.12,6.6,3.6
1554884127085,9.323022,0.87567925,2.3600842999999996,0.02876214,0.0010652645,-0.017044231,-21.18,6.48,3.54
1554884127106,9.361329,0.8086416000000001,2.379238,0.0,-0.0063915867,-0.00958738,-21.24,6.36,3.48
1554884127125,9.346964,0.8038531999999999,2.5372553,-0.010652645,-0.008522116,-0.008522116,-21.36,6.18,3.48
1554884127145,9.452309,0.7846996,2.5228900000000003,-0.011717908999999999,-0.014913702,-0.013848438000000001,-21.42,5.94,3.42
1554884127165,9.3661175,0.85173726,2.5037365,-0.002130529,-0.024501082,-0.023435817999999997,-21.54,5.64,3.48
1554884127186,9.41879,0.7751228,2.570774,0.007456851,-0.022370555,-0.034088463,-21.6,5.28,3.48
1554884127205,9.385271000000001,0.86131406,2.40318,0.0053263223,-0.013848438000000001,-0.027696876000000002,-21.66,4.98,3.48
1554884127226,9.399636,0.8086416000000001,2.3888147,-0.011717908999999999,-0.010652645,-0.020240024,-21.78,4.74,3.48
1554884127245,9.414000999999999,0.85173726,2.6138697,-0.03195793,-0.013848438000000001,-0.0063915867,-21.84,4.44,3.48
1554884127265,9.442732000000001,0.717662,2.5899277,-0.040480047000000005,-0.013848438000000001,-0.0063915867,-21.9,4.2,3.54
1554884127285,9.452309,0.7846996,2.5037365,-0.024501082,-0.011717908999999999,-0.023435817999999997,-21.96,3.96,3.54
1554884127306,9.380483,0.8038531999999999,2.460641,-0.036218993,-0.015978966,-0.036218993,-22.02,3.84,3.54
1554884127325,9.452309,0.81343,2.3840263,-0.06178534,-0.024501082,-0.039414786,-22.08,3.72,3.6
1554884127345,9.485827,0.7751228,2.4271219,-0.080960095,-0.036218993,-0.034088463,-22.14,3.72,3.66
1554884127365,9.442732000000001,0.789488,2.5516205000000003,-0.10333065,-0.047936900000000005,-0.034088463,-22.14,3.72,3.72
1554884127385,9.509769,0.6841431,2.4893713,-0.09161274,-0.051132694000000006,-0.036218993,-22.14,3.72,3.84
