TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554103584452,7.1395097000000005,-11.186309,-2.60549,3.3140377999999995,-1.3912354,2.1497037,-10.62,32.82,43.68
1554103584471,6.871359,-10.932524,-3.1800982999999996,3.7934067000000002,-1.5137408,2.5353293,-9.84,31.92,44.22
1554103584491,6.789956,-10.477625,-3.256713,3.6400087,-1.6053536,2.8250813,-9.0,32.04,44.46
1554103584511,6.732495299999999,-10.13286,-3.7786489000000003,2.8538435,-1.7385116000000003,3.0839404999999998,-7.86,33.42,44.52
1554103584531,6.8091097000000005,-11.416152,-2.9646204,1.8748653999999998,-1.8876486000000001,3.2724924,-6.54,35.64,44.28
1554103584551,6.4739213,-12.158355,-2.380435,1.4008228,-2.014415,3.4951327000000005,-4.86,38.34,43.86
1554103584570,6.0860605,-12.369044,-2.0548236,1.3113406,-2.13479,3.7167077000000006,-3.06,41.46,43.38
1554103584591,5.4683566,-12.402563,-2.1601684,1.510545,-2.267948,3.914847,-0.06,46.26,42.6
1554103584610,5.066130599999999,-12.766482,-2.1170728,1.7566210999999998,-2.3552997,4.0746364999999996,2.16,49.38,42.06
1554103584630,4.486733999999999,-12.661138000000001,-1.9973627,1.9121496999999998,-2.392584,4.20886,3.42,50.76,41.7
1554103584650,3.9217023999999996,-12.455235499999999,-1.6095021,1.9686086999999999,-2.4543692999999998,4.4304347,7.38,53.76,40.5
1554103584670,3.3470940000000002,-12.105682,-1.5089456,1.9014970000000002,-2.4596956000000003,4.581702,10.14,54.78,39.42
1554103584690,2.6288335,-12.32116,-1.3461398999999998,1.808819,-2.4351945,4.721252,13.02,55.44,38.28
1554103584710,2.0159178,-11.708245,-1.0923545000000001,1.6745956999999998,-2.4064324,4.900216599999999,15.84,55.74,36.9
1554103584731,1.2593501,-11.248558000000001,-0.6326678000000001,1.5361114,-2.3787355,5.005677700000001,18.78,55.38,35.28
1554103584750,0.48841715,-10.688315,0.12868834,1.4519554,-2.3563650000000003,5.0131345000000005,21.66,54.18,33.3
1554103584770,0.13407529999999998,-9.821614,0.54527944,1.4530207,-2.336125,5.0003514000000004,24.36,52.26,31.14
1554103584790,-0.17717093,-8.796896,0.5979519,1.5254587,-2.223207,4.942826999999999,26.7,49.68,28.86
1554103584810,-0.5315128,-8.136096,0.5117606,1.5531555000000001,-2.0570256999999996,4.906608,28.74,46.62,26.64
1554103584831,-1.0821792,-7.211933999999999,0.6697779,1.5574166999999999,-1.8450380000000002,4.8522796999999995,30.54,42.84,24.54
1554103584850,-1.2737153,-6.5607114,1.2252326999999998,1.5243934,-1.6532904,4.7809067,31.92,38.46,22.44
1554103584870,-1.0295067,-5.5695120000000005,2.3696610000000002,1.3390374,-1.4668691,4.6786413,33.12,33.48,20.4
1554103584890,-0.7278373,-4.458602,2.7383683,1.2921658,-1.2144015,4.485828400000001,33.96,28.2,18.36
1554103584911,-1.1013328000000002,-3.2136172999999997,2.9921536,1.3177321000000002,-0.86179894,4.24934,34.44,22.98,16.56
