TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
1554206669667,-9.763555,-0.8960299999999999,0.6314706999999999,0.08628642,0.026631612000000002,-0.013848438000000001,103.56,13.32,-13.14
1554206669686,-9.830592,-0.8146270999999999,0.44472298,0.10546118,0.03089267,-0.011717908999999999,103.56,13.38,-13.08
1554206669706,-9.816227,-0.84814596,0.38726214,0.07563378,0.022370555,-0.015978966,103.62,13.38,-12.96
1554206669727,-9.725247,-0.84814596,0.28670564,0.03834952,-0.0053263223,-0.018109497,103.56,13.38,-12.9
1554206669746,-9.677363,-0.9343372,0.29149407,0.03195793,-0.013848438000000001,-0.02876214,103.56,13.38,-12.84
1554206669767,-9.619903,-0.9391255999999999,0.49739540000000004,0.034088463,-0.033023197000000004,-0.04261058,103.5,13.38,-12.84
1554206669787,-9.68694,-0.95349085,0.6985083000000001,0.024501082,-0.03834952,-0.040480047000000005,103.44,13.32,-12.84
1554206669807,-9.701305,-0.9008184000000001,0.75596917,-0.013848438000000001,-0.02876214,-0.025566347000000003,103.32,13.32,-12.84
1554206669826,-9.68694,-0.95827925,0.74639237,-0.05219796,-0.017044231,-0.018109497,103.26,13.26,-12.84
1554206669846,-9.629479,-0.96785605,0.54049104,-0.037284255,-0.008522116,-0.02876214,103.2,13.26,-12.84
1554206669867,-9.648633,-0.9439139999999999,0.54049104,0.06178534,0.002130529,-0.040480047000000005,103.2,13.2,-12.84
1554206669887,-9.619903,-0.9008184000000001,0.6027403,0.15020229,0.0010652645,-0.025566347000000003,103.2,13.14,-12.84
1554206669906,-9.739613,-0.87208796,0.6218939,0.128897,0.012783173500000002,-0.008522116,103.26,13.14,-12.78
1554206669926,-9.619903,-0.84335756,0.7272388000000001,0.05752428,0.033023197000000004,-0.014913702,103.32,13.14,-12.78
1554206669947,-9.634267999999999,-0.66618663,0.6171055000000001,0.033023197000000004,0.04580637,-0.037284255,103.32,13.14,-12.78
1554206669967,-9.677363,-0.6997054,0.23882163,0.01917476,0.034088463,-0.051132694000000006,103.38,13.08,-12.78
1554206669987,-9.682152,-0.8050503000000001,0.3345897,-0.029827405,0.0010652645,-0.037284255,103.44,13.08,-12.78
1554206670007,-9.730036,-0.8960299999999999,0.39683893,-0.07350325,-0.026631612000000002,-0.039414786,103.44,13.08,-12.78
1554206670027,-9.816227,-0.98222125,0.34895490000000007,-0.094808534,-0.05006743,-0.041545313,103.44,13.08,-12.84
1554206670046,-9.763555,-0.76195467,0.8182184,-0.12357068,-0.058589544,-0.026631612000000002,103.44,13.02,-12.84
1554206670066,-9.65821,-0.8912416,0.65541273,-0.1438107,-0.047936900000000005,-0.02130529,103.44,12.96,-12.84
1554206670087,-9.801862,-0.9199719999999999,0.66498953,-0.13422333,-0.036218993,-0.03089267,103.44,12.96,-12.84
1554206670106,-9.749189,-1.0253168,0.6937199000000001,-0.07137272,-0.04261058,-0.02876214,103.44,12.9,-12.78
1554206670126,-9.744401,-1.0923545000000001,0.49739540000000004,0.0053263223,-0.047936900000000005,-0.020240024,103.44,12.9,-12.72
1554206670146,-9.749189,-0.9439139999999999,0.7368156,0.054328485999999995,-0.049002163,-0.015978966,103.44,12.9,-12.66
1554206670166,-9.619903,-0.96785605,0.6314706999999999,0.06924219,-0.05006743,-0.01917476,103.44,12.9,-12.66
1554206670187,-9.557653,-0.88645315,0.6985083000000001,0.05219796,-0.04580637,-0.022370555,103.5,12.9,-12.6
1554206670206,-9.600749,-0.9295488000000001,0.7272388000000001,0.011717908999999999,-0.036218993,-0.015978966,103.5,12.96,-12.6
1554206670227,-9.701305,-0.84814596,0.7703344,-0.0010652645,-0.02876214,-0.011717908999999999,103.44,13.02,-12.6
1554206670246,-9.773131,-0.82899237,0.7990648,0.0031957934000000003,-0.029827405,-0.014913702,103.44,13.08,-12.6
1554206670267,-9.667786999999999,-0.84814596,0.75118077,0.00958738,-0.03834952,-0.023435817999999997,103.44,13.14,-12.6
1554206670293,-9.634267999999999,-0.83378077,0.6410475,-0.024501082,-0.03195793,-0.02876214,103.5,13.14,-12.66
1554206670307,-9.639056,-0.7715314999999999,0.64583594,-0.05006743,-0.024501082,-0.029827405,103.5,13.2,-12.72
1554206670327,-9.619903,-0.8146270999999999,0.55964464,-0.12570119999999999,-0.0063915867,-0.029827405,103.5,13.14,-12.78
1554206670346,-9.725247,-0.7428011,0.3633201,-0.14594123,-0.0063915867,-0.02876214,103.44,13.14,-12.84
1554206670367,-9.662998,-0.6278794,0.3298013,-0.20026971,-0.037284255,-0.033023197000000004,103.44,13.14,-12.84
1554206670387,-9.586383999999999,-0.55605334,0.38726214,-0.2727077,-0.058589544,-0.043675844000000005,103.44,13.14,-12.9
1554206670407,-9.595961,-0.75237787,0.5979519,-0.33129725,-0.06178534,-0.06391586,103.44,13.14,-12.96
1554206670427,-9.643844999999999,-0.84335756,0.75118077,-0.34621096,-0.054328485999999995,-0.06604639400000001,103.38,13.14,-12.96
1554206670447,-9.624691,-0.84335756,0.6027403,-0.30253512,-0.041545313,-0.051132694000000006,103.44,13.14,-12.96
1554206670467,-9.725247,-0.9487024,0.55964464,-0.27057716,-0.05219796,-0.04580637,103.5,13.14,-12.96
1554206670487,-9.643844999999999,-0.99179804,0.65541273,-0.25885928,-0.07137272,-0.043675844000000005,103.56,13.2,-12.9
